brand,model,year,fuel,price,currency,reference_month,fipe_code,source,date
Acura,Integra GS 1.8,1992,Gasolina,"R$ 10.853,00",BRL,abril de 2026,038003-2,FIPE API,2026-04-27
Acura,Integra GS 1.8,1991,Gasolina,"R$ 10.139,00",BRL,abril de 2026,038003-2,FIPE API,2026-04-27
Acura,Legend 3.2/3.5,1998,Gasolina,"R$ 24.849,00",BRL,abril de 2026,038002-4,FIPE API,2026-04-27
Acura,Legend 3.2/3.5,1997,Gasolina,"R$ 22.093,00",BRL,abril de 2026,038002-4,FIPE API,2026-04-27
Acura,Legend 3.2/3.5,1996,Gasolina,"R$ 20.775,00",BRL,abril de 2026,038002-4,FIPE API,2026-04-27
Acura,NSX 3.0,1995,Gasolina,"R$ 40.112,00",BRL,abril de 2026,038001-6,FIPE API,2026-04-27
Acura,NSX 3.0,1994,Gasolina,"R$ 38.700,00",BRL,abril de 2026,038001-6,FIPE API,2026-04-27
Acura,NSX 3.0,1993,Gasolina,"R$ 37.413,00",BRL,abril de 2026,038001-6,FIPE API,2026-04-27
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,2007,Diesel,"R$ 50.512,00",BRL,abril de 2026,060001-6,FIPE API,2026-04-27
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,2006,Diesel,"R$ 49.280,00",BRL,abril de 2026,060001-6,FIPE API,2026-04-27
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,2005,Diesel,"R$ 48.078,00",BRL,abril de 2026,060001-6,FIPE API,2026-04-27
Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2015,Diesel,"R$ 106.214,00",BRL,abril de 2026,060003-2,FIPE API,2026-04-27
Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2014,Diesel,"R$ 101.248,00",BRL,abril de 2026,060003-2,FIPE API,2026-04-27
Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,2013,Diesel,"R$ 98.778,00",BRL,abril de 2026,060003-2,FIPE API,2026-04-27
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2015,Diesel,"R$ 115.865,00",BRL,abril de 2026,060004-0,FIPE API,2026-04-27
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2014,Diesel,"R$ 106.969,00",BRL,abril de 2026,060004-0,FIPE API,2026-04-27
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,2013,Diesel,"R$ 103.566,00",BRL,abril de 2026,060004-0,FIPE API,2026-04-27
