brand,brand_code,model,model_code,year,fuel,price,currency,source,date
Acura,1,Integra GS 1.8,1,,,,BRL,FIPE API,2026-04-27
Acura,1,Legend 3.2/3.5,2,,,,BRL,FIPE API,2026-04-27
Acura,1,NSX 3.0,3,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ 2.8 12V 132cv TDI Diesel,4,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 100 2.8  CS TDI Diesel,4564,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 100 2.8 CD TDI Diesel,4563,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 150 2.8  CS TDI Diesel,4566,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 150 2.8 CD TDI Diesel,4565,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 200 2.8  CD TDI Diesel,4567,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 200 2.8 CS TDI Diesel,4568,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 200 Esc. 3.8 TDI Die.Aut. (E6),10883,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 200 Escolar 2.8 TDI Diesel,9352,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 200 Escolar 3.8 TDI Die. (E6),10884,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 200 Microbus 2.8 TDI Diesel,9353,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 250 3.8 CD TDI Die. Aut. (E6),10864,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 250 3.8 CD TDI Diesel (E6),10569,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 250 3.8 CS TDI Die. Aut. (E6),10865,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 250 3.8 CS TDI Diesel (E6),10866,,,,BRL,FIPE API,2026-04-27
Agrale,2,MARRUÁ AM 50 2.8 140cv TDI Diesel,4569,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,145 Elegant 1.7/1.8 16V,5,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,145 Elegant 2.0 16V,6,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,145 Quadrifoglio 2.0,7,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,145 QV,8,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,147 2.0 16V 148cv 4p Semi-Aut.,9,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,155,10,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,155 Super,11,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,156 2.5 V6 24V 190cv 4p Aut.,12,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,156 Sport Wagon 2.0 16V,13,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,156 Sport Wagon 2.5 V6 24V 4p Aut.,14,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,156 TS/Sport/Elegant 2.0 16V,15,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,164 3.0 V6,16,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,164 Super V6 24V,17,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,166 3.0 V6 24V,18,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,2300 TI/TI-4,19,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,Spider 2.0/3.0,20,,,,BRL,FIPE API,2026-04-27
