brand,brand_code,model,year,fuel,price,currency,source,date
Acura,1,,,,,BRL,FIPE API,2026-04-27
Agrale,2,,,,,BRL,FIPE API,2026-04-27
Alfa Romeo,3,,,,,BRL,FIPE API,2026-04-27
AM Gen,4,,,,,BRL,FIPE API,2026-04-27
Asia Motors,5,,,,,BRL,FIPE API,2026-04-27
ASTON MARTIN,189,,,,,BRL,FIPE API,2026-04-27
Audi,6,,,,,BRL,FIPE API,2026-04-27
Baby,207,,,,,BRL,FIPE API,2026-04-27
BMW,7,,,,,BRL,FIPE API,2026-04-27
BRM,8,,,,,BRL,FIPE API,2026-04-27
Bugre,123,,,,,BRL,FIPE API,2026-04-27
BYD,238,,,,,BRL,FIPE API,2026-04-27
CAB Motors,236,,,,,BRL,FIPE API,2026-04-27
Cadillac,10,,,,,BRL,FIPE API,2026-04-27
Caoa Chery,245,,,,,BRL,FIPE API,2026-04-27
Caoa Chery/Chery,161,,,,,BRL,FIPE API,2026-04-27
CBT Jipe,11,,,,,BRL,FIPE API,2026-04-27
CHANA,136,,,,,BRL,FIPE API,2026-04-27
CHANGAN,182,,,,,BRL,FIPE API,2026-04-27
Chrysler,12,,,,,BRL,FIPE API,2026-04-27
Citroën,13,,,,,BRL,FIPE API,2026-04-27
Cross Lander,14,,,,,BRL,FIPE API,2026-04-27
D2D Motors,241,,,,,BRL,FIPE API,2026-04-27
Daewoo,15,,,,,BRL,FIPE API,2026-04-27
Daihatsu,16,,,,,BRL,FIPE API,2026-04-27
Denza,263,,,,,BRL,FIPE API,2026-04-27
DFSK,246,,,,,BRL,FIPE API,2026-04-27
Dodge,17,,,,,BRL,FIPE API,2026-04-27
EFFA,147,,,,,BRL,FIPE API,2026-04-27
Engesa,18,,,,,BRL,FIPE API,2026-04-27
